Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
1,0,0,0
6,0,0,10.79146670665867
11,67.33333333333333,67.33333333333333,81.33333333333333
16,146.4,146.4,160.54166666666666
21,225.86666666666667,225.86666666666667,229.04462559178504
26,237.86666666666667,237.86666666666667,237.79166666666669
31,240.2,240.2,246.5
36,270.2,270.1333333333333,275.7083333333333
41,300.4,300.26666666666665,307.2876591348397
46,346.6666666666667,346.6666666666667,351.1666666666667
51,377.93333333333334,378,383.7916666666667
56,410.2,410,414.3386093885444
61,424.8666666666667,424.73333333333335,425.1994709799097
66,427.1333333333333,426.8,427.125
71,428.8,428.8,428.51321830596027
76,430.3333333333333,430.3333333333333,430.63397099898265
81,433.2,433.5333333333333,433.3713893703062
86,435.5333333333333,435.59999999999997,436.2375105306197
91,435.8666666666667,435.5333333333333,437.3150954918943
96,441.8,441.1333333333333,442.6703504911766
101,445.93333333333334,446.06666666666666,446.73880447820875
106,451.4,451.4,449.8880997038306
111,448.26666666666665,448.73333333333335,448.33333333333337
116,449.8666666666667,449.59999999999997,450.16857985002287
121,450.06666666666666,449.73333333333335,449.91104279144173
126,451.4,450.8666666666667,452
131,453.06666666666666,453.26666666666665,453.34278092697565
136,482.48534896110823,482.21896643580186,457.13905817129705
141,505.6666666666667,502.59999999999997,451.1173242690838
146,500.8331666999933,497.8337665800173,445.1924317875147
151,461.89268553123327,462.15963694607575,442.1515366852636
156,405.73333333333335,408.3333333333333,435.41129669258584
161,438.35433753417357,432.08641728345674,430.74694616949216
166,444.1333333333333,443.8,433.0360344597747
171,401.5333333333333,402.73333333333335,409.2948858556519
176,421.73333333333335,428.8,393.96223583408414
181,470.59999999999997,440.93333333333334,384.91443785579764
186,528.4666666666667,527.0666666666666,418.0075410180991
191,476.6666666666667,478.59999999999997,433.95087622648026
196,409.26666666666665,439.8666666666667,431.3881314105324
201,427.1333333333333,425.2,432.7458694460731
206,292.6,293.06666666666666,375.0628885066436
211,240.33333333333334,231.06666666666666,339.0655182997124
216,306.5333333333333,306.5333333333333,322.0849172511739
221,524.8600373233804,524.7267395361237,380.31526039047236
226,604.3194240767898,613.5181975736568,425.59839076084234
231,524.4666666666667,527.8,439.92655617844235
236,441.51773806348353,438.45025340090683,439.2437975789139
241,368.84917989065207,369.0492065608748,440.85016970041596
246,409.8,409.8,443.1881907768265
251,263.93333333333334,267.1333333333333,404.68939028235155
256,252.93333333333334,228.4,348.5683769502679
261,307.26666666666665,286.8,338.7381767511259
266,512.7299386830178,492.7352705945081,377.6822376892595
271,617.4666666666667,612.0666666666666,424.5848991160126
276,513.8,533.3333333333334,428.85665157621725
281,417.51133635636165,437.51667111229654,426.0226755452637
286,358.7949076851296,388.58894887689127,426.7964225409279
291,315.8666666666667,316.6666666666667,426.1845679336183
296,211.06666666666666,211.06666666666666,377.2814607699628
301,300.37997466835543,265.6489567362176,364.9908768850534
306,425.4,416.59999999999997,362.78593008377993
311,507,507,427.37347933564405
316,344.025073352894,378.9677247265937,434.3364394161267
321,276.3333333333333,285.1333333333333,438.5556062564456
326,331.46666666666664,331.4,424.8885480572597
331,425,424.93333333333334,418.2519098484853
336,385.5333333333333,385.6,377.8380176035207
341,343.73333333333335,343.6,334.25
346,241.33333333333334,241.4,224.85579743965863
351,138.33333333333334,138.4,120.125
356,34.6,34.8,21.25
361,0,0,0.020833333333333332
366,0,0,0
