Time,Avg Endorsement Latency
30,0.00157
35,0.00158
40,0.00157
45,0.00156
50,0.00153
55,0.00153
60,0.00156
65,0.00159
70,0.00196
75,0.00137
80,0.00133
85,0.00132
90,0.00130
95,0.00131
100,0.00131
105,0.00132
110,0.00132
115,0.00136
120,0.00135
125,0.00118
130,0.00112
135,0.00109
140,0.00107
145,0.00107
150,0.00107
155,0.00106
160,0.00106
165,0.000817
170,0.00124
175,0.00115
180,0.00114
185,0.00111
190,0.00111
195,0.00110
200,0.00110
205,0.00111
210,0.00113
215,0.00116
220,0.00118
225,0.00119
230,0.00119
235,0.00124
240,0.00130
245,0.00136
250,0.00137
255,0.00138
260,0.00141
265,0.00146
270,0.00146
275,0.00144
280,0.00141
285,0.00139
290,0.00138
295,0.00156
300,0.00190
305,0.00213
310,0.00223
315,0.00219
320,0.00217
325,0.00217
330,0.00221
335,0.00225
340,0.00225
345,0.00225
350,0.00223
355,0.00228
360,0.00226
365,0.00225
370,0.00221
375,0.00220
380,0.00226
385,0.00230
390,0.00236
395,0.00234
400,0.00233
405,0.00229
410,0.00223
415,0.00221
420,0.00224
425,0.00227
430,0.00223
435,0.00219
440,0.00220
445,0.00222
450,0.00225
455,0.00224
460,0.00234
465,0.00235
470,0.00225
475,0.00210
480,0.00165
485,0.00144
490,0.00239
495,0.00231
500,0.00230
505,0.00223
510,0.00207
515,NaN
520,NaN
525,NaN
530,NaN
535,NaN
540,NaN
545,NaN
550,NaN
555,NaN
560,NaN
565,NaN
570,NaN
575,NaN
580,NaN
585,NaN
590,NaN
595,NaN
600,NaN
605,NaN
610,NaN
615,NaN
620,NaN
625,NaN
630,NaN
635,NaN
640,NaN
645,NaN
650,NaN
655,NaN
660,NaN
665,NaN
670,NaN
675,NaN
680,NaN
685,NaN
690,NaN
695,NaN
700,NaN
705,NaN
710,NaN
715,NaN
720,NaN
725,NaN
730,NaN
735,NaN
740,NaN
745,NaN
750,NaN
755,NaN
760,NaN
765,NaN
770,NaN
775,NaN
780,NaN
785,NaN
790,NaN
795,NaN
800,NaN
805,NaN
810,NaN
815,NaN
